column_name,required,detected,non_empty_row_count,row_count,schema_status,blocker_reason
factor_attachment_row_id,TRUE,TRUE,1570,1570,PASS,
factor_research_row_id,TRUE,TRUE,1570,1570,PASS,
normalized_row_id,TRUE,TRUE,1570,1570,PASS,
ticker,TRUE,TRUE,1570,1570,PASS,
effective_observation_date,TRUE,TRUE,1570,1570,PASS,
effective_price_date,TRUE,TRUE,1570,1570,PASS,
effective_close,TRUE,TRUE,1570,1570,PASS,
source_system,TRUE,TRUE,1570,1570,PASS,
source_hash,TRUE,TRUE,1570,1570,PASS,
run_id,TRUE,TRUE,1570,1570,PASS,
sample_id,TRUE,TRUE,1570,1570,PASS,
factor_category,TRUE,TRUE,1570,1570,PASS,
factor_family,TRUE,TRUE,1570,1570,PASS,
attachment_source_reference,TRUE,TRUE,1570,1570,PASS,
attachment_input_type,TRUE,TRUE,1570,1570,PASS,
attachment_value_type,TRUE,TRUE,1570,1570,PASS,
attachment_value_present,TRUE,TRUE,1570,1570,PASS,
attachment_value_numeric,TRUE,TRUE,1570,1570,PASS,
attachment_value_text,TRUE,TRUE,1570,1570,PASS,
attachment_status,TRUE,TRUE,1570,1570,PASS,
factor_score_created,TRUE,TRUE,1570,1570,PASS,
factor_evidence_created,TRUE,TRUE,1570,1570,PASS,
research_only_flag,TRUE,TRUE,1570,1570,PASS,
official_use_allowed,TRUE,TRUE,1570,1570,PASS,
allowed_for_factor_evidence_next,TRUE,TRUE,1570,1570,PASS,
allowed_for_backtest_now,TRUE,TRUE,1570,1570,PASS,
allowed_for_dynamic_weighting_now,TRUE,TRUE,1570,1570,PASS,
allowed_for_trading_now,TRUE,TRUE,1570,1570,PASS,
allowed_for_official_recommendation_now,TRUE,TRUE,1570,1570,PASS,
attachment_created_at_utc,TRUE,TRUE,1570,1570,PASS,
attachment_source_step,TRUE,TRUE,1570,1570,PASS,
